 INFO  Accepting connections at http://localhost:50333
 HTTP  7/8/2025 7:32:45 AM ::1 GET /
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 17 ms
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/entry/start.Bu3qu-oq.js
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/chunks/entry.DCyWh89L.js
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/chunks/runtime.DroCaUsv.js
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/chunks/index.Bco7oUAX.js
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/chunks/utils.sM8QXN-x.js
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/entry/app.CkDcCi0F.js
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 11 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 10 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 10 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 10 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 9 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 10 ms
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/chunks/store.BP4803Y4.js
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/chunks/disclose-version.tded3YXq.js
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/chunks/index-client.B-EHj9_K.js
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 11 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 7 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 5 ms
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/nodes/0.DoVL7Bdn.js
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/assets/0.CPBqo94d.css
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/nodes/1.CivlZ2k0.js
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/chunks/legacy.KFXI9fnr.js
 HTTP  7/8/2025 7:32:45 AM ::1 GET /_app/immutable/nodes/2.D2yxzSEH.js
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 5 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 5 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 5 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 4 ms
 HTTP  7/8/2025 7:32:45 AM ::1 Returned 200 in 5 ms
